GVP_Index,GVP_ID,GVP_Name,lat,lon,Waste_Tonnes,Assigned_SCTP_ID,SCTP_ID,SCTP_Name,geometry
95,94,Nagole Lake near Shubham,17.378299,78.5641008,0.86,0,0,Nagole,POINT (78.5641008 17.378299)
96,95,Fathulguda Dump Road,17.379062,78.5668637,0.06,0,0,Nagole,POINT (78.5668637 17.379062)
97,96,GSI Road Reddy Tiffin Center,17.354186,78.563135,0.86,4,4,Auto Nagar,POINT (78.563135 17.354186)
98,97,Saibaba Temple ,17.354575,78.563236,1.63,4,4,Auto Nagar,POINT (78.563236 17.354575)
99,98,GSI road Govt School opp,17.356206,78.566111,0.63,4,4,Auto Nagar,POINT (78.566111 17.356206)
100,99,kcr Double Bedroom's,17.357648,78.56681,1.56,4,4,Auto Nagar,POINT (78.56681 17.357648)
101,100,GSI Gate opp,17.361082,78.568527,0.8,4,4,Auto Nagar,POINT (78.568527 17.361082)
102,101,GSI Wall Beside,17.361053,78.568505,1.16,4,4,Auto Nagar,POINT (78.568505 17.361053)
103,102,Krushi nagar colony Akshara school road,17.3727552,78.5722068,0.06,0,0,Nagole,POINT (78.5722068 17.3727552)
104,103,Anand nagar road no 4,17.3713839,78.5753657,0.36,4,4,Auto Nagar,POINT (78.5753657 17.3713839)
105,104,Anand nagar 2BHK beside,17.3668027,78.5719293,0.76,4,4,Auto Nagar,POINT (78.5719293 17.3668027)
106,105,Gopala Krishna puri colony road no 1,17.3723371,78.570821,1.5,0,0,Nagole,POINT (78.570821 17.3723371)
107,106,Bandlaguda Grave Yard,17.3730139,78.569348,1.26,0,0,Nagole,POINT (78.569348 17.3730139)
108,107,Jai Puri Colony Chowrasta,17.3763231,78.5615293,0.96,0,0,Nagole,POINT (78.5615293 17.3763231)
109,108,Metro Hights Near Kalyana Lakshmi,17.3792104,78.5664455,1.5,0,0,Nagole,POINT (78.5664455 17.3792104)
110,109,Bandla Guda Mahila Bhavan,17.3653325,78.5630672,0.5,4,4,Auto Nagar,POINT (78.5630672 17.3653325)
111,110,KBR Dumping Road,17.3501074,78.5688635,1.5,4,4,Auto Nagar,POINT (78.5688635 17.3501074)
112,111,Sahara back side,17.3502376,78.5711801,1.26,4,4,Auto Nagar,POINT (78.5711801 17.3502376)
113,112,KBR Function Hall,17.3501521,78.5679094,1.46,4,4,Auto Nagar,POINT (78.5679094 17.3501521)
114,113,Vijay Sree Colony,17.3377381,78.572748,1.46,4,4,Auto Nagar,POINT (78.572748 17.3377381)
115,114,M E Reddy Function Hall,17.3363431,78.5740285,0.4,4,4,Auto Nagar,POINT (78.5740285 17.3363431)
116,115,Balaji Nagar,17.3426419,78.5714188,0.9,4,4,Auto Nagar,POINT (78.5714188 17.3426419)
117,116,Modal Dairy,17.3461321,78.5683789,1.1,4,4,Auto Nagar,POINT (78.5683789 17.3461321)
118,117,Beside Water Plant,17.3516915,78.5637031,0.5,4,4,Auto Nagar,POINT (78.5637031 17.3516915)
119,118,Oil Mill,17.3523441,78.5607149,0.26,4,4,Auto Nagar,POINT (78.5607149 17.3523441)
120,119,Surya Nagar Main Road,17.3276634,78.6113225,1.43,4,4,Auto Nagar,POINT (78.6113225 17.3276634)
121,120,Agamaiah Colony,17.3412289,78.5639104,0.2,4,4,Auto Nagar,POINT (78.5639104 17.3412289)
122,121,Mallikarjuna Nagar,17.3418094,78.5662382,0.63,4,4,Auto Nagar,POINT (78.5662382 17.3418094)
123,122,Ganesh Nagar,17.3389042,78.5692742,0.1,4,4,Auto Nagar,POINT (78.5692742 17.3389042)
124,123,Saraswathi Nagar,17.3458242,78.5536202,1.46,5,5,Hasthinapuram,POINT (78.5536202 17.3458242)
125,124,Panama Signal,17.3531149,78.5555722,1.56,4,4,Auto Nagar,POINT (78.5555722 17.3531149)
126,125,Suryodaya colony road no 5,17.3484065,78.5551449,1.3,5,5,Hasthinapuram,POINT (78.5551449 17.3484065)
127,126,"Sarvodaya Colony, Indian Oil Beside",17.3491408,78.5539454,0.5,5,5,Hasthinapuram,POINT (78.5539454 17.3491408)
128,127,Sitara Hotel,17.3459368,78.5524741,0.66,5,5,Hasthinapuram,POINT (78.5524741 17.3459368)
129,128,Chandrapuri Colony,17.3425489,78.558588,1.06,4,4,Auto Nagar,POINT (78.558588 17.3425489)
130,129,Subhadra Nagar Road No 2,17.3294616,78.5835109,0.5,4,4,Auto Nagar,POINT (78.5835109 17.3294616)
131,130,Saradha Nagar Road-18,17.3266903,78.5869572,1.2,4,4,Auto Nagar,POINT (78.5869572 17.3266903)
132,131,High Court Colony Community Hall,17.3328333,78.5840277,1.53,4,4,Auto Nagar,POINT (78.5840277 17.3328333)
133,132,BDL Colony Petrol Pump lane,17.3174776,78.6121545,0.53,4,4,Auto Nagar,POINT (78.6121545 17.3174776)
134,133,Raghavendra Colony Hayat Nagar,17.3217584,78.6099036,0.36,4,4,Auto Nagar,POINT (78.6099036 17.3217584)
135,134,Bus Depot Road,17.3150333,78.6118236,0.66,4,4,Auto Nagar,POINT (78.6118236 17.3150333)
136,135,Padmavati Colony Hayat Nagar,17.3152694,78.611782,0.6,4,4,Auto Nagar,POINT (78.611782 17.3152694)
137,136,Gowri Shankar House,17.3253514,78.604923,0.43,4,4,Auto Nagar,POINT (78.604923 17.3253514)
138,137,Kummari Kunta,17.3159187,78.6009411,0.56,4,4,Auto Nagar,POINT (78.6009411 17.3159187)
139,138,Gayathrinagar,17.3226978,78.6062463,0.36,4,4,Auto Nagar,POINT (78.6062463 17.3226978)
140,139,Amanagal Shivalayam Temple,17.322769,78.6074687,1.6,4,4,Auto Nagar,POINT (78.6074687 17.322769)
141,140,Kuntlor Road,17.3322295,78.611129,1.0,4,4,Auto Nagar,POINT (78.611129 17.3322295)
142,141,"Defence Colony, Hayat Nagar",17.3209605,78.6025105,1.66,4,4,Auto Nagar,POINT (78.6025105 17.3209605)
143,142,Banjara Colony,17.313603,78.6102014,0.03,4,4,Auto Nagar,POINT (78.6102014 17.313603)
144,143,Munuganuru Road,17.3224242,78.6052233,1.03,4,4,Auto Nagar,POINT (78.6052233 17.3224242)
145,144,Injapur Road,17.3230597,78.6027706,1.03,4,4,Auto Nagar,POINT (78.6027706 17.3230597)
146,145,"Dwarakamai Nagar, Sai baba temple line opp",17.3336586,78.5816103,0.66,4,4,Auto Nagar,POINT (78.5816103 17.3336586)
147,146,Kamala Nagar Park,17.328255,78.5796113,0.76,4,4,Auto Nagar,POINT (78.5796113 17.328255)
148,147,Sama Nagar Rd Govt Hostel Beside,17.3338191,78.5790375,0.4,4,4,Auto Nagar,POINT (78.5790375 17.3338191)
149,148,Bathukammakunta ,17.32603,78.574746,1.16,4,4,Auto Nagar,POINT (78.574746 17.32603)
150,149,Jodibavi ,17.322153,78.581224,0.46,4,4,Auto Nagar,POINT (78.581224 17.322153)
151,150,Veeranjaneya colony,17.325985,78.578119,1.26,4,4,Auto Nagar,POINT (78.578119 17.325985)
152,151,PVR Colony ,17.317235,78.580363,1.5,4,4,Auto Nagar,POINT (78.580363 17.317235)
153,152,Kappala cheruvu ,17.316549,78.570665,0.13,4,4,Auto Nagar,POINT (78.570665 17.316549)
154,153,Gowthami Nagar,17.324742,78.573189,0.16,4,4,Auto Nagar,POINT (78.573189 17.324742)
155,154,Bathukammakunta Nala ,17.324472,78.574909,1.0,4,4,Auto Nagar,POINT (78.574909 17.324472)
156,155,Saheb Nagar grave yard,17.317117,78.579747,0.2,4,4,Auto Nagar,POINT (78.579747 17.317117)
157,156,"Dwarakamai Nagar, Sai baba temple line opp",17.334344,78.581749,1.46,4,4,Auto Nagar,POINT (78.581749 17.334344)
158,157,Kamala Nagar Park,17.328457,78.579616,1.53,4,4,Auto Nagar,POINT (78.579616 17.328457)
159,158,Subhadra Nagar Road No 2,17.32747,78.582832,0.43,4,4,Auto Nagar,POINT (78.582832 17.32747)
160,159,High Court Colony Community Hall,17.332998,78.584136,0.23,4,4,Auto Nagar,POINT (78.584136 17.332998)
161,160,BDL Colony Petrol Pump lane,17.332582,78.588521,1.4,4,4,Auto Nagar,POINT (78.588521 17.332582)
162,161,Raghavendra Colony Hayat Nagar,17.330702,78.591432,0.43,4,4,Auto Nagar,POINT (78.591432 17.330702)
163,162,Padmavati Colony Hayat Nagar,17.327645,78.597585,0.53,4,4,Auto Nagar,POINT (78.597585 17.327645)
164,163,Kummari Kunta,17.323715,78.598614,0.8,4,4,Auto Nagar,POINT (78.598614 17.323715)
165,164,Gayathrinagar,17.322309,78.596047,0.26,4,4,Auto Nagar,POINT (78.596047 17.322309)
166,165,Amanagal Shivalayam Temple,17.322569,78.607326,1.13,4,4,Auto Nagar,POINT (78.607326 17.322569)
167,166,Kuntlor Road,17.332693,78.611121,1.66,4,4,Auto Nagar,POINT (78.611121 17.332693)
168,167,Andharakesarinagar,17.326138,78.578009,0.33,4,4,Auto Nagar,POINT (78.578009 17.326138)
169,168,Surya Nagar Main Road,17.327493,78.611089,0.16,4,4,Auto Nagar,POINT (78.611089 17.327493)
170,169,Agamaiah Colony,17.34119,78.563873,1.5,4,4,Auto Nagar,POINT (78.563873 17.34119)
171,170,Saraswathi Nagar,17.342563,78.558458,0.73,4,4,Auto Nagar,POINT (78.558458 17.342563)
172,171,Suryodaya colony road no 5,17.348348,78.555185,0.63,5,5,Hasthinapuram,POINT (78.555185 17.348348)
173,172,"Sarvodaya Colony, Indian Oil Beside",17.349315,78.553812,0.06,5,5,Hasthinapuram,POINT (78.553812 17.349315)
174,173,Vijay Sree Colony,17.340567,78.572532,1.53,4,4,Auto Nagar,POINT (78.572532 17.340567)
175,174,M E Reddy Function Hall,17.340073,78.571724,0.06,4,4,Auto Nagar,POINT (78.571724 17.340073)
176,175,Balaji Nagar,17.345044,78.567571,1.5,4,4,Auto Nagar,POINT (78.567571 17.345044)
177,176,Modal Dairy,17.346324,78.568305,0.56,4,4,Auto Nagar,POINT (78.568305 17.346324)
178,177,Oil Mill,17.352462,78.56083,1.53,4,4,Auto Nagar,POINT (78.56083 17.352462)
179,178,Nagole X Road,17.376317,78.558586,0.86,0,0,Nagole,POINT (78.558586 17.376317)
180,179,Sujatha Hotel,17.374896,78.560527,1.63,0,0,Nagole,POINT (78.560527 17.374896)
181,180,Bandlaguda Grave Yard,17.37288,78.569351,1.1,0,0,Nagole,POINT (78.569351 17.37288)
182,181,Jaipuri Colony Chanikya High School main road,17.375891,78.56905,1.23,0,0,Nagole,POINT (78.56905 17.375891)
183,182,Jai Puri Colony Chowrasta,17.378497,78.569192,1.1,0,0,Nagole,POINT (78.569192 17.378497)
184,183,Mamatha Nagar Beside Nagole Nala,17.382275,78.5586716,0.5,0,0,Nagole,POINT (78.5586716 17.382275)
185,184,Gouda Sangam Nagole,17.376035,78.562107,0.2,0,0,Nagole,POINT (78.562107 17.376035)
186,185,Nagole Lake near Shubham,17.3783,78.56421,1.06,0,0,Nagole,POINT (78.56421 17.3783)
187,186,Metro Hights Near Kalyana Lakshmi,17.379081,78.566194,1.53,0,0,Nagole,POINT (78.566194 17.379081)
188,187,Bandla Guda Mahila Bhavan,17.370182,78.570413,0.06,0,0,Nagole,POINT (78.570413 17.370182)
189,188,Krushi nagar colony Akshara school road,17.372727,78.572248,0.06,0,0,Nagole,POINT (78.572248 17.372727)
190,189,Anand nagar road no 4,17.3716284,78.57532557,0.3,4,4,Auto Nagar,POINT (78.57532557 17.3716284)
191,190,Gopala Krishna puri colony road no 1,17.367761,78.573564,0.53,4,4,Auto Nagar,POINT (78.573564 17.367761)
192,191,Sahara back side,17.350209,78.56871,1.26,4,4,Auto Nagar,POINT (78.56871 17.350209)
193,192,KBR Function Hall,17.350316,78.567878,0.26,4,4,Auto Nagar,POINT (78.567878 17.350316)
194,193,Opp Mega Function Hall Downside,17.351194,78.5306245,0.5,17,17,Singareni Colony,POINT (78.5306245 17.351194)
195,194,POchamma Temple Beside CC Road,17.340193,78.32433,0.53,7,7,Kattedan,POINT (78.32433 17.340193)
196,195,Nandhi Hills Road,17.338899,78.5275616,1.46,5,5,Hasthinapuram,POINT (78.5275616 17.338899)
197,196,Chintalkunta Dcm Adda,17.340997,78.559537,0.63,4,4,Auto Nagar,POINT (78.559537 17.340997)
198,197,Bairamalguda Lake,17.342653,78.542905,1.16,5,5,Hasthinapuram,POINT (78.542905 17.342653)
199,198,Vanasthlipuram Ps Backside,17.331448,78.567843,1.4,4,4,Auto Nagar,POINT (78.567843 17.331448)
200,199,Hp Petrol Pump Beside,17.335753,78.551937,0.56,5,5,Hasthinapuram,POINT (78.551937 17.335753)
201,200,Kallu Compound,17.334891,78.53791,1.23,5,5,Hasthinapuram,POINT (78.53791 17.334891)
202,201,Gunti Jangaiah Colony Gravy Yard,17.344562,78.552307,0.5,5,5,Hasthinapuram,POINT (78.552307 17.344562)
203,202,Sabbula Galli,17.347213,78.53005,0.83,17,17,Singareni Colony,POINT (78.53005 17.347213)
204,203,Sagar Ring Road Sulab Complex Line,17.342973,78.546948,0.6,5,5,Hasthinapuram,POINT (78.546948 17.342973)
205,204,Sontosh Nagar Owisi Rd beside Yadagiri T,17.347046,78.509053,1.13,17,17,Singareni Colony,POINT (78.509053 17.347046)
206,205,Laxmi Narayana Bhavan CM Road,17.348559,78.544915,0.16,5,5,Hasthinapuram,POINT (78.544915 17.348559)
207,206,Tapovan Colony Cheruvukatta,17.351255,78.530679,0.36,17,17,Singareni Colony,POINT (78.530679 17.351255)
208,207,Indian Oil Petrol Pump,17.341589,78.520596,1.46,17,17,Singareni Colony,POINT (78.520596 17.341589)
209,208,Mirchi Kanta,17.337569,78.540851,0.23,5,5,Hasthinapuram,POINT (78.540851 17.337569)
210,209,Defence Colony,17.338843,78.536579,1.06,5,5,Hasthinapuram,POINT (78.536579 17.338843)
211,210,Kranthi Nagar,17.3519319,78.5328404,0.26,17,17,Singareni Colony,POINT (78.5328404 17.3519319)
212,211,Kranthi Club,17.3419823,78.5314825,1.23,5,5,Hasthinapuram,POINT (78.5314825 17.3419823)
213,212,DPS school,17.3441636,78.5285754,0.2,17,17,Singareni Colony,POINT (78.5285754 17.3441636)
214,213,Open Gym,17.3420636,78.5235811,1.0,17,17,Singareni Colony,POINT (78.5235811 17.3420636)
215,214,Chinta Chettu Reddy Colony,17.3399006,78.5440115,0.63,5,5,Hasthinapuram,POINT (78.5440115 17.3399006)
216,215,Kolla Forum,17.3401392,78.5305666,1.2,5,5,Hasthinapuram,POINT (78.5305666 17.3401392)
217,216,Pochamma Gadda,17.3467221,78.5150633,0.9,17,17,Singareni Colony,POINT (78.5150633 17.3467221)
218,217,Uday Nagar,17.341776,78.527326,0.63,17,17,Singareni Colony,POINT (78.527326 17.341776)
219,218,Nehru Nagar Bachpan School,17.3445682,78.5189808,1.63,17,17,Singareni Colony,POINT (78.5189808 17.3445682)
220,219,Apex Hospital,17.342885,78.54087,1.3,5,5,Hasthinapuram,POINT (78.54087 17.342885)
221,220,DurgaNagar colony Road no 7,17.34195,78.536953,1.36,5,5,Hasthinapuram,POINT (78.536953 17.34195)
222,221,Bharat Nagar VSR Appartment,17.357343,78.556066,1.66,4,4,Auto Nagar,POINT (78.556066 17.357343)
223,222,PRAJAY NIWAS PHASE-1,17.377607,78.549574,1.1,1,1,Devender Nagar,POINT (78.549574 17.377607)
224,223,Prajay Niwas Phase-2,17.37661,78.548472,0.1,1,1,Devender Nagar,POINT (78.548472 17.37661)
225,224,New Nagole Road No1,17.370792,78.5447737,0.66,1,1,Devender Nagar,POINT (78.5447737 17.370792)
226,225,Karnataka Bank,17.352854,78.553805,0.6,4,4,Auto Nagar,POINT (78.553805 17.352854)
227,226,Samathapuri Colony Rd No 6,17.376078,78.552588,1.2,1,1,Devender Nagar,POINT (78.552588 17.376078)
228,227,BALAJI ROAD NO 1,17.3749225,78.5500273,1.53,1,1,Devender Nagar,POINT (78.5500273 17.3749225)
229,228,NTR VEG MARKET,17.35601,78.546383,1.6,17,17,Singareni Colony,POINT (78.546383 17.35601)
230,229,RK Puram Park,17.3659458,78.5539811,1.2,1,1,Devender Nagar,POINT (78.5539811 17.3659458)
231,230,SOWBHGYAPURAM COLONY,17.3593684,78.5478919,0.93,17,17,Singareni Colony,POINT (78.5478919 17.3593684)
232,231,HARIPURI COLONY PARK ROAD NO-3,17.362586,78.55252,0.1,1,1,Devender Nagar,POINT (78.55252 17.362586)
233,232,HARIPURI COLONY ROAD NO-1,17.3603299,78.5558526,0.63,4,4,Auto Nagar,POINT (78.5558526 17.3603299)
234,233,Green Hills Colony Road No 3,17.361273,78.549377,1.0,1,1,Devender Nagar,POINT (78.549377 17.361273)
235,234,Margadarshi Colony Road No - 04,17.364811,78.546358,1.16,1,1,Devender Nagar,POINT (78.546358 17.364811)
236,235,VASAVI COLONY ROAD NO 3,17.3726319,78.5477816,1.6,1,1,Devender Nagar,POINT (78.5477816 17.3726319)
237,236,East Yadav Nagar Road No-01,17.3589676,78.5455358,0.13,17,17,Singareni Colony,POINT (78.5455358 17.3589676)
